Bocas del Toro (4),,,"4,654.0","159,228",34.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Bocas del Toro,,285.0,"17,274",60.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Bocas del Toro  (cabecera),34.1,"6,708",196.8,,,,,,,,,,,,
,,Bastimentos,60.9,"2,589",42.5,,,,,,,,,,,,
,,Punta Laurel,71.3,"1,979",27.8,,,,,,,,,,,,
,,Tierra Oscura (4),49.5,"1,771",35.8,,,,,,,,,,,,
,,Bocas del Drago (52),31.2,"2,518",80.7,,,,,,,,,,,,
,,San Cristobal (52),38.0,"1,709",45.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Changuinola,,"2,222.5","101,091",45.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Changuinola (cabecera),4.5,"6,136","1,367.8",,,,,,,,,,,,
,,Guabito,90.9,"6,573",72.3,,,,,,,,,,,,
,,El Teribe (5)     ,854.0,"3,251",3.8,,,,,,,,,,,,
,,El Empalme (16)               ,9.0,"11,462","1,273.1",,,,,,,,,,,,
,,Las Tablas (16),51.7,"5,002",96.8,,,,,,,,,,,,
,,Cochigró (21),205.1,"2,085",10.2,,,,,,,,,,,,
,,La Gloria (21),159.0,"3,232",20.3,,,,,,,,,,,,
,,Las Delicias (21),554.5,"1,773",3.2,,,,,,,,,,,,
,,Barriada 4 de Abril (42),13.0,"10,557",813.6,,,,,,,,,,,,
,,El Silencio (42),51.9,"3,839",74.0,,,,,,,,,,,,
,,Finca 6 (42),28.8,"8,982",311.4,,,,,,,,,,,,
,,Finca 30 (42),17.0,"8,801",517.6,,,,,,,,,,,,
,,Finca 60 (42),30.2,"5,329",176.4,,,,,,,,,,,,
,,Barranco Adentro (52),20.0,"4,871",243.2,,,,,,,,,,,,
,,Finca 4 (52),18.6,"5,781",310.5,,,,,,,,,,,,
,,Finca 12 (52),2.7,"3,264","1,196.0",,,,,,,,,,,,
,,Finca 51 (52),78.3,"5,732",73.2,,,,,,,,,,,,
,,Finca 66 (52),2.6,"2,184",854.1,,,,,,,,,,,,
,,La Mesa (52),30.8,"2,237",72.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Chiriquí Grande,,210.2,"12,495",59.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Chiriquí Grande  (cabecera),60.3,"3,891",64.5,,,,,,,,,,,,
,,Miramar (4),26.7,729,27.3,,,,,,,,,,,,
,,Punta Peña (4),18.2,"3,060",167.7,,,,,,,,,,,,
,,Punta Robalo,50.6,"1,597",31.5,,,,,,,,,,,,
,,Rambala (4),32.7,"1,365",41.7,,,,,,,,,,,,
,,Bajo Cedro (21),21.5,"1,853",86.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Almirante (42),,"1,936.2","28,368",14.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Almirante (cabecera),16.6,"4,886",293.5,,,,,,,,,,,,
,,Barrio Francés (42),18.1,"2,192",121.1,,,,,,,,,,,,
,,Barriada Guaymí (42),26.8,"4,754",177.6,,,,,,,,,,,,
,,Nance de Risco (21),125.4,"1,650",13.2,,,,,,,,,,,,
,,Valle de Agua Arriba (21),70.9,"3,939",55.5,,,,,,,,,,,,
,,Valle del Risco (5),306.3,"4,386",14.3,,,,,,,,,,,,
,,Bajo Culubre (52),844.8,963,1.1,,,,,,,,,,,,
,,Cauchero (52),139.8,"2,934",21.0,,,,,,,,,,,,
,,Ceiba (52),350.6,"1,361",3.9,,,,,,,,,,,,
,,Miraflores (52),36.9,"1,303",35.3,,,,,,,,,,,,
Coclé (6),,,"4,943.0","268,264",54.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Aguadulce,,470.0,"49,005",104.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Aguadulce  (cabecera),50.4,"9,576",190.1,,,,,,,,,,,,
,,El Cristo,59.0,"3,085",52.3,,,,,,,,,,,,
,,El Roble,128.1,"4,830",37.7,,,,,,,,,,,,
,,Pocrí,6.0,"8,194","1,373.3",,,,,,,,,,,,
,,Barrios Unidos (6),64.9,"9,991",154.1,,,,,,,,,,,,
,,Pueblos Unidos (33),91.4,"4,055",44.4,,,,,,,,,,,,
,,Virgen del Carmen (34),16.4,"7,890",480.0,,,,,,,,,,,,
,,El Hato de San Juan de Dios (36),53.8,"1,384",25.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Antón (6),,743.9,"59,194",79.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Antón  (cabecera),109.8,"10,711",97.5,,,,,,,,,,,,
,,Cabuya,62.3,"2,092",33.6,,,,,,,,,,,,
,,El Chirú,109.9,"3,889",35.4,,,,,,,,,,,,
,,El Retiro,69.5,"2,937",42.2,,,,,,,,,,,,
,,El Valle,35.0,"7,595",217.0,,,,,,,,,,,,
,,Juan Díaz,81.6,"3,516",43.1,,,,,,,,,,,,
,,Río Hato,134.5,"15,950",118.6,,,,,,,,,,,,
,,San Juan de Dios,56.1,"5,538",98.7,,,,,,,,,,,,
,,Santa Rita,43.4,"2,830",65.2,,,,,,,,,,,,
,,Caballero (6),41.7,"4,136",99.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,La Pintada,,"1,031.3","29,698",28.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,La Pintada (cabecera),85.5,"4,497",52.6,,,,,,,,,,,,
,,El Harino,253.3,"5,752",22.7,,,,,,,,,,,,
,,El Potrero,74.9,"3,450",46.1,,,,,,,,,,,,
,,Llano Grande,88.0,"4,114",46.7,,,,,,,,,,,,
,,Piedras Gordas,135.0,"4,713",34.9,,,,,,,,,,,,
,,Las Lomas (14),86.3,"2,350",27.2,,,,,,,,,,,,
,,Llano Norte (24),308.2,"4,822",15.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Natá,,613.1,"19,741",32.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Natá  (cabecera),175.0,"6,317",36.1,,,,,,,,,,,,
,,Capellanía,39.4,"2,967",75.3,,,,,,,,,,,,
,,El Caño,87.9,"3,440",39.2,,,,,,,,,,,,
,,Guzmán,73.1,978,13.4,,,,,,,,,,,,
,,Las Huacas,88.9,"1,581",17.8,,,,,,,,,,,,
,,Toza,86.0,"2,437",28.4,,,,,,,,,,,,
,,Villarreal (35),62.7,"2,021",32.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Olá,,377.2,"6,300",16.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Olá  (cabecera),83.2,"1,472",17.7,,,,,,,,,,,,
,,El Copé,74.5,"1,503",20.2,,,,,,,,,,,,
,,El Palmar,104.5,"1,296",12.4,,,,,,,,,,,,
,,El Picacho,30.5,346,11.3,,,,,,,,,,,,
,,La Pava,84.5,"1,683",19.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Penonomé,,"1,707.5","104,326",61.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Penonomé  (cabecera),53.4,"25,836",484.2,,,,,,,,,,,,
,,Cañaveral,63.4,"9,324",147.0,,,,,,,,,,,,
,,Coclé,115.4,"5,811",50.4,,,,,,,,,,,,
,,Chiguirí Arriba,104.0,"7,185",69.1,,,,,,,,,,,,
,,El Coco,148.3,"11,064",74.6,,,,,,,,,,,,
,,Pajonal,63.7,"7,678",120.4,,,,,,,,,,,,
,,Río Grande,94.2,"3,505",37.2,,,,,,,,,,,,
,,Río Indio,214.0,"4,026",18.8,,,,,,,,,,,,
,,Toabré,193.6,"7,440",38.4,,,,,,,,,,,,
,,Tulú,121.9,"2,241",18.4,,,,,,,,,,,,
,,Boca de Tucué (53),103.4,"2,090",20.2,,,,,,,,,,,,
,,Candelario Ovalle (53),99.0,"3,615",36.5,,,,,,,,,,,,
,,General Victoriano Lorenzo (53),79.1,"8,496",107.3,,,,,,,,,,,,
,,Las Minas (53),71.0,"2,662",37.5,,,,,,,,,,,,
,,Riecito (53),83.3,"1,315",15.8,,,,,,,,,,,,
,,San Miguel (53),99.7,"2,038",20.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Colón,,,"4,605.0","281,956",61.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Colón,,"1,194.0","240,722",201.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Ciudad de Colón,,3.0,"18,783","6,296.7",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Barrio Norte,1.3,"12,320","9,325.9",,,,,,,,,,,,
,,Barrio Sur,1.7,"6,463","3,888.9",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Resto del distrito,,"1,191.0","221,939",186.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Buena Vista,113.0,"19,221",170.2,,,,,,,,,,,,
,,Cativá,22.1,"37,000","1,672.2",,,,,,,,,,,,
,,Ciricito,66.4,"3,174",47.8,,,,,,,,,,,,
,,Cristóbal,412.9,"10,466",25.3,,,,,,,,,,,,
,,Escobal,78.1,"2,293",29.3,,,,,,,,,,,,
,,Limón,76.4,"5,546",72.6,,,,,,,,,,,,
,,Nueva Providencia,17.6,"8,734",495.4,,,,,,,,,,,,
,,Puerto Pilón,99.3,"18,285",184.2,,,,,,,,,,,,
,,Sabanitas,11.7,"23,630","2,013.4",,,,,,,,,,,,
,,Salamanca,195.3,"5,043",25.8,,,,,,,,,,,,
,,San Juan,41.7,"22,499",539.8,,,,,,,,,,,,
,,Santa Rosa,27.5,"1,232",44.7,,,,,,,,,,,,
,,Cristóbal Este (39),28.9,"64,816","2,242.4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Chagres,,447.2,"10,968",24.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Nuevo Chagres  (cabecera),5.7,567,99.2,,,,,,,,,,,,
,,Achiote,62.0,938,15.1,,,,,,,,,,,,
,,El Guabo,52.7,"1,553",29.5,,,,,,,,,,,,
,,La Encantada,135.5,"2,333",17.2,,,,,,,,,,,,
,,Palmas Bellas,55.4,"2,151",38.8,,,,,,,,,,,,
,,Piña,29.9,888,29.7,,,,,,,,,,,,
,,Salud,106.0,"2,538",23.9,,,,,,,,,,,,
,Donoso,,"1,627.8","12,274",7.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Miguel de la Borda (cabecera),310.5,"2,408",7.8,,,,,,,,,,,,
,,Coclé del Norte,931.7,"4,301",4.6,,,,,,,,,,,,
,,El Guásimo,295.6,"3,494",11.8,,,,,,,,,,,,
,,Gobea,53.6,927,17.3,,,,,,,,,,,,
,,Río Indio,36.4,"1,144",31.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Portobelo,,398.7,"10,320",25.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Portobelo  (cabecera),244.6,"4,910",20.1,,,,,,,,,,,,
,,Cacique,11.7,308,26.4,,,,,,,,,,,,
,,Puerto Lindo o Garrote,24.7,"1,011",41.0,,,,,,,,,,,,
,,Isla Grande,26.9,988,36.7,,,,,,,,,,,,
,,María Chiquita,90.8,"3,103",34.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Santa Isabel,,739.9,"4,111",5.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Palenque (cabecera),68.6,508,7.4,,,,,,,,,,,,
,,Cuango,46.1,624,13.5,,,,,,,,,,,,
,,Miramar,15.9,389,24.4,,,,,,,,,,,,
,,Nombre de Dios,150.3,"1,127",7.5,,,,,,,,,,,,
,,Palmira,176.9,404,2.3,,,,,,,,,,,,
,,Playa Chiquita,113.0,196,1.7,,,,,,,,,,,,
,,Santa Isabel,134.4,276,2.1,,,,,,,,,,,,
,,Viento Frío,34.6,587,16.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
